421.39 MiB	libreoffice-fresh
416.21 MiB	chromium
332.78 MiB	electron43
298.79 MiB	noto-fonts-cjk
282.17 MiB	qt6-webengine
254.42 MiB	clang
220.89 MiB	gcc
163.70 MiB	llvm-libs
147.78 MiB	linux
134.99 MiB	qemu-user-static
133.55 MiB	webkit2gtk-4.1
132.48 MiB	linux-firmware-intel
130.79 MiB	llvm
121.44 MiB	qt6-declarative
120.91 MiB	omarchy
117.02 MiB	docker
112.81 MiB	opencv
106.81 MiB	noto-fonts
105.24 MiB	deno
103.55 MiB	linux-firmware-nvidia
96.36 MiB	mise-bin
92.67 MiB	kdenlive
86.76 MiB	containerd
82.79 MiB	breeze-icons
78.10 MiB	js140
73.62 MiB	python
73.59 MiB	dotnet-runtime
70.28 MiB	perl
67.14 MiB	localsend
66.53 MiB	qt6-base
64.54 MiB	hyprland
63.41 MiB	yaru-icon-theme
62.52 MiB	docker-buildx
62.38 MiB	omarchy-nvim
54.94 MiB	compiler-rt
54.49 MiB	guile
53.84 MiB	mesa
52.96 MiB	gtk3
51.53 MiB	gtk4
51.31 MiB	linux-firmware-atheros
51.10 MiB	boost-libs
50.66 MiB	glibc
48.45 MiB	ffmpeg
44.03 MiB	ghostscript
43.76 MiB	binutils
43.23 MiB	icu
42.71 MiB	docker-compose
39.48 MiB	systemd
37.89 MiB	glib2
36.99 MiB	linux-firmware-mediatek
