Startup finished in 523ms (firmware) + 2.662s (loader) + 858ms (kernel) + 2.876s (userspace) = 6.920s 
multi-user.target reached after 2.874s in userspace.

1.168s dev-vda2.device
1.017s systemd-tmpfiles-setup-dev-early.service
 996ms systemd-userdbd.service
 124ms ufw.service
 122ms ldconfig.service
  85ms sshdgenkeys.service
  68ms user@1000.service
  64ms systemd-networkd.service
  60ms systemd-remount-fs.service
  59ms systemd-journal-flush.service
  47ms systemd-boot-random-seed.service
  41ms systemd-udev-trigger.service
  37ms systemd-vconsole-setup.service
  33ms systemd-resolved.service
  26ms dev-zram0.swap
  26ms systemd-oomd.service
  24ms systemd-journald.service
  24ms dbus-broker.service
  23ms systemd-timesyncd.service
  22ms systemd-logind.service
  22ms user-runtime-dir@1000.service
  21ms systemd-tmpfiles-setup.service
  20ms omarchy-tty-palette.service
  20ms systemd-sysusers.service
  18ms systemd-journal-catalog-update.service
